Trans. Date,Post Date,Description,Amount,Category
05/27/2023,05/27/2023,"TST* BETTER HALF BAR AUSTIN TX00043100011923908073AA",23.59,"Restaurants"
05/27/2023,05/27/2023,"TST* JO'S COFFEE - SOUTH AUSTIN TX",12.82,"Restaurants"
05/29/2023,05/29/2023,"H-E-B #029 W LAKE HILLS TX",146.47,"Supermarkets"
05/30/2023,05/30/2023,"H-E-B #029 W LAKE HILLS TX",34.48,"Supermarkets"
05/31/2023,05/31/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
05/31/2023,05/31/2023,"PROSE* PROSE R23531236 0000000000 NY",58.90,"Merchandise"
05/31/2023,05/31/2023,"PROSE* PROSE R23531594 0000000000 NY",52.70,"Merchandise"
05/31/2023,05/31/2023,"STARBUCKS 800-782-7282 SEATTLE WA",6.93,"Restaurants"
06/01/2023,06/01/2023,"MCDONALD'S F11210 WEST LAKE HILTX",4.52,"Restaurants"
06/01/2023,06/01/2023,"WINGSTOP 1624 AUSTIN TX",43.83,"Restaurants"
06/02/2023,06/02/2023,"STARBUCKS 800-782-7282 SEATTLE WA",11.04,"Restaurants"
06/03/2023,06/03/2023,"THE HOME DEPOT #6570 SUNSET VALLEYTX",511.74,"Home Improvement"
06/06/2023,06/06/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3T2NRH-B907F48590F9FA",10.79,"Services"
06/08/2023,06/08/2023,"INTERNET PAYMENT - THANK YOU",-934.42,"Payments and Credits"
06/09/2023,06/09/2023,"SALON SERVICE GROUP PAUT AUSTIN TX",216.87,"Merchandise"
06/10/2023,06/10/2023,"NATES BAKED GOODS & COFF AUSTIN TX",52.37,"Merchandise"
06/11/2023,06/11/2023,"PETSMART # 1245 WEST AUSTIN TX",136.05,"Merchandise"
06/12/2023,06/12/2023,"LA MADELEINE SUNSET VALL SUNSET VALLEYTX",53.12,"Restaurants"
06/16/2023,06/16/2023,"H-E-B #029 W LAKE HILLS TX",89.43,"Supermarkets"
06/17/2023,06/17/2023,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-42.19,"Awards and Rebate Credits"
06/17/2023,06/17/2023,"H-E-B #029 W LAKE HILLS TX",93.40,"Supermarkets"
06/17/2023,06/17/2023,"INTERNET PAYMENT - THANK YOU",-457.81,"Payments and Credits"
06/17/2023,06/17/2023,"WORLD MARKET #82 CEDAR PARK TX",154.55,"Merchandise"
06/18/2023,06/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1177857690000000",31.26,"Merchandise"
06/22/2023,06/22/2023,"APPLE.COM/BILL 866-712-7753 CAMM24M63LN8A0",0.99,"Merchandise"
06/25/2023,06/25/2023,"GOLDS GYM AUSTIN DOWNTOW 512-535-6423 TX",75.78,"Travel/ Entertainment"
06/25/2023,06/25/2023,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
06/27/2023,06/27/2023,"H-E-B #029 W LAKE HILLS TX",19.23,"Supermarkets"
06/27/2023,06/27/2023,"H-E-B #029 W LAKE HILLS TX",132.52,"Supermarkets"
06/29/2023,06/29/2023,"H-E-B #029 W LAKE HILLS TX",12.73,"Supermarkets"
06/30/2023,06/30/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
07/05/2023,07/05/2023,"H-E-B #029 W LAKE HILLS TX",116.78,"Supermarkets"
07/05/2023,07/05/2023,"TOMLINSON'S FEED-WESTLAK AUSTIN TX",113.04,"Merchandise"
07/05/2023,07/05/2023,"TRADER JOE S #453 AUSTIN TX",46.25,"Supermarkets"
07/06/2023,07/06/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3VWNZI-B16420A6962812",10.79,"Services"
07/06/2023,07/06/2023,"H-E-B #029 W LAKE HILLS TX",3.79,"Supermarkets"
07/06/2023,07/06/2023,"H-E-B #029 W LAKE HILLS TX",36.52,"Supermarkets"
07/07/2023,07/07/2023,"H-E-B #029 W LAKE HILLS TX",10.32,"Supermarkets"
07/07/2023,07/07/2023,"H-E-B #029 W LAKE HILLS TX",22.30,"Supermarkets"
07/08/2023,07/08/2023,"AMZN MKTP US*X96I96U43 AMZN.COM/BILLWA2NIIZJPB4FT",2.24,"Merchandise"
07/11/2023,07/11/2023,"H-E-B #029 W LAKE HILLS TX",127.03,"Supermarkets"
07/15/2023,07/15/2023,"INTERNET PAYMENT - THANK YOU",-865.72,"Payments and Credits"
07/16/2023,07/16/2023,"H-E-B #265 CEDAR PARK TX",34.62,"Supermarkets"
07/16/2023,07/16/2023,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
07/17/2023,07/17/2023,"H-E-B #265 CEDAR PARK TX",35.49,"Supermarkets"
07/18/2023,07/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1186104620000000",31.26,"Merchandise"
07/19/2023,07/19/2023,"APPLE.COM/BILL 866-712-7753 CAMM24Q2DY9WA0",2.86,"Merchandise"
07/24/2023,07/24/2023,"H-E-B #265 CEDAR PARK TX",55.37,"Supermarkets"
07/25/2023,07/25/2023,"GOLDS GYM AUSTIN DOWNTOW 512-535-6423 TX",75.78,"Travel/ Entertainment"
07/25/2023,07/25/2023,"TOMLINSON'S FEED-LEANDER LEANDER TX",83.27,"Merchandise"
07/28/2023,07/28/2023,"H-E-B #265 CEDAR PARK TX",129.55,"Supermarkets"
07/31/2023,07/31/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
07/31/2023,07/31/2023,"JIMMY JOHNS 1810 - ECOM CEDAR PARK TX",75.54,"Restaurants"
08/02/2023,08/02/2023,"H-E-B #265 CEDAR PARK TX",20.36,"Supermarkets"
08/02/2023,08/02/2023,"H-E-B #659 AUSTIN TX",116.05,"Supermarkets"
08/03/2023,08/03/2023,"SMALLSFORSMALLS.COM 5034874303 NY",181.44,"Supermarkets"
08/04/2023,08/04/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",31.70,"Travel/ Entertainment"
08/05/2023,08/05/2023,"ALAMO LAKELINE RESTAURAN AUSTIN TX",52.39,"Restaurants"
08/05/2023,08/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@3YUFB6-F0E6DF3EF74A93",10.79,"Services"
08/06/2023,08/06/2023,"DD DOORDASH KINGNOODL 855-973-1040 CA",81.85,"Restaurants"
08/06/2023,08/06/2023,"H-E-B #265 CEDAR PARK TX",83.01,"Supermarkets"
08/06/2023,08/06/2023,"TOMLINSON'S FEED-LEANDER LEANDER TX",145.28,"Merchandise"
08/10/2023,08/10/2023,"INTERNET PAYMENT - THANK YOU",-1039.64,"Payments and Credits"
08/10/2023,08/10/2023,"TST* ESTANCIA BRAZILIA AUSTIN TX00077912013120089573AA",259.08,"Restaurants"
08/12/2023,08/12/2023,"CENTRAL MARKET #061 AUSTIN TX",104.00,"Supermarkets"
08/16/2023,08/16/2023,"H-E-B #265 CEDAR PARK TX",155.64,"Supermarkets"
08/16/2023,08/16/2023,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
08/18/2023,08/18/2023,"INTERNET PAYMENT - THANK YOU",-1358.49,"Payments and Credits"
08/18/2023,08/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1194490920000000",31.26,"Merchandise"
08/19/2023,08/19/2023,"APPLE.COM/BILL 866-712-7753 CAMM24T6K7ZBA0",2.99,"Merchandise"
08/22/2023,08/22/2023,"TEXAS HONE* TEXAS HONE 8887072469 TX",43.55,"Restaurants"
08/23/2023,08/23/2023,"APPLE.COM/BILL 111-111-1111 CA",48.69,"Merchandise"
08/24/2023,08/24/2023,"APPLE.COM/BILL 866-712-7753 CAMM24TGDHD1A0",16.23,"Merchandise"
08/24/2023,08/24/2023,"APPLE.COM/BILL 866-712-7753 CAMM24TGDJ0QA0",16.23,"Merchandise"
08/24/2023,08/24/2023,"APPLE.COM/BILL 866-712-7753 CAMM24TGDJYHA0",48.69,"Merchandise"
08/25/2023,08/27/2023,"GOLDS GYM AUSTIN DOWNTOW 512-535-6423 TX",75.78,"Travel/ Entertainment"
08/28/2023,08/28/2023,"H-E-B #029 W LAKE HILLS TX",55.52,"Supermarkets"
08/30/2023,08/30/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",31.70,"Travel/ Entertainment"
08/31/2023,08/31/2023,"CHICK-FIL-A #01136 5123299171 TX",14.58,"Restaurants"
08/31/2023,08/31/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
08/31/2023,08/31/2023,"TOMLINSON'S FEED-FOUR PO AUSTIN TX",85.93,"Merchandise"
09/01/2023,09/01/2023,"SMALLSFORSMALLS.COM 5034874303 NY",181.44,"Supermarkets"
09/03/2023,09/03/2023,"APPLE.COM/BILL 866-712-7753 CAMM24TGDM5SA0",16.23,"Merchandise"
09/04/2023,09/04/2023,"H-E-B #265 CEDAR PARK TX",195.79,"Supermarkets"
09/05/2023,09/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@41S3C2-55583BBBCBD7A2",10.79,"Services"
09/07/2023,09/10/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",-27.60,"Payments and Credits"
09/08/2023,09/08/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",37.80,"Travel/ Entertainment"
09/10/2023,09/10/2023,"ALAMO LAKELINE RESTAURAN AUSTIN TX",22.87,"Restaurants"
09/11/2023,09/11/2023,"H-E-B #029 W LAKE HILLS TX",79.84,"Supermarkets"
09/15/2023,09/15/2023,"CHICK-FIL-A #02322 5122609777 TX",9.94,"Restaurants"
09/16/2023,09/16/2023,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-321.64,"Awards and Rebate Credits"
09/16/2023,09/16/2023,"INTERNET PAYMENT - THANK YOU",-854.77,"Payments and Credits"
09/16/2023,09/16/2023,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
09/18/2023,09/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1202822370000000",31.26,"Merchandise"
09/19/2023,09/19/2023,"APPLE.COM/BILL 866-712-7753 CAMM24W80M9MA0",2.99,"Merchandise"
09/22/2023,09/22/2023,"H-E-B #659 AUSTIN TX",93.46,"Supermarkets"
09/25/2023,09/25/2023,"GOLDS GYM AUSTIN DOWNTOW 512-535-6423 TX",75.78,"Travel/ Entertainment"
09/28/2023,09/28/2023,"AMZN MKTP US*T166P6G21 AMZN.COM/BILLWAVRM0AGY9AGM",40.65,"Merchandise"
09/28/2023,09/28/2023,"LULUS FASHION LOUNGE LLC 530-343-3545 CA",350.74,"Merchandise"
10/01/2023,10/01/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
10/02/2023,10/02/2023,"AMZN MKTP US*T95YE61D0 AMZN.COM/BILLWA5AZ4PBS33RI",845.17,"Merchandise"
10/05/2023,10/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@44QGG0-E78BA373558D96",10.79,"Services"
10/07/2023,10/07/2023,"AMZN MKTP US*TE1S20300 AMZN.COM/BILLWA70IZNDBQLPN",282.31,"Merchandise"
10/07/2023,10/07/2023,"AMZN MKTP US*TE3N40JV0 AMZN.COM/BILLWARHES8WHMXEV",77.14,"Merchandise"
10/07/2023,10/07/2023,"H-E-B #580 CEDAR PARK TX",43.62,"Supermarkets"
10/07/2023,10/07/2023,"TOMLINSON'S FEED-CEDAR P CEDAR PARK TX",107.38,"Merchandise"
10/11/2023,10/12/2023,"LULUS FASHION LOUNGE LLC 530-343-3545 CA",-185.11,"Payments and Credits"
10/16/2023,10/16/2023,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
10/17/2023,10/17/2023,"INTERNET PAYMENT - THANK YOU",-1853.57,"Payments and Credits"
10/18/2023,10/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1211121960000000",31.26,"Merchandise"
10/19/2023,10/19/2023,"APPLE.COM/BILL 866-712-7753 CAMM24YBXQGHA0",2.99,"Merchandise"
10/20/2023,10/20/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",30.62,"Travel/ Entertainment"
10/25/2023,10/25/2023,"GOLDS GYM AUSTIN DOWNTOW 512-535-6423 TX",75.78,"Travel/ Entertainment"
10/26/2023,10/27/2023,"SMALLSFORSMALLS.COM 5034874303 NY",181.44,"Supermarkets"
10/28/2023,10/28/2023,"STARBUCKS 800-782-7282 SEATTLE WA",27.77,"Restaurants"
10/30/2023,10/30/2023,"MCALISTER'S OLO 1418 512-260-3354 TX",48.67,"Travel/ Entertainment"
10/31/2023,10/31/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",25.20,"Travel/ Entertainment"
10/31/2023,10/31/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
11/01/2023,11/01/2023,"H-E-B #580 CEDAR PARK TX",157.47,"Supermarkets"
11/01/2023,11/01/2023,"SQ *HONEY & HAY CEDAR PARK TX0002305843018719851648",210.55,"Merchandise"
11/01/2023,11/01/2023,"TOMLINSON'S FEED-CEDAR P CEDAR PARK TX",104.00,"Merchandise"
11/04/2023,11/04/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",25.20,"Travel/ Entertainment"
11/04/2023,11/06/2023,"ALAMO LAKELINE RETAIL AUSTIN TX",-21.10,"Payments and Credits"
11/05/2023,11/05/2023,"ALAMO LAKELINE RESTAURAN AUSTIN TX",63.61,"Restaurants"
11/06/2023,11/06/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@47RU12-64AFEC252C713D",10.79,"Services"
11/11/2023,11/11/2023,"H-E-B #265 CEDAR PARK TX",20.38,"Supermarkets"
11/12/2023,11/12/2023,"SUR LA TABLE 800-243-0852 IN",178.00,"Merchandise"
11/13/2023,11/13/2023,"DOUBLEDAVES PIZZAWORKS 5122602233 TX",40.61,"Restaurants"
11/16/2023,11/16/2023,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
11/18/2023,11/18/2023,"INTERNET PAYMENT - THANK YOU",-1315.68,"Payments and Credits"
11/18/2023,11/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1219497820000000",31.26,"Merchandise"
11/19/2023,11/19/2023,"APPLE.COM/BILL 866-712-7753 CA",2.99,"Merchandise"
11/24/2023,11/24/2023,"SMALLSFORSMALLS.COM 5034874303 NY",181.44,"Supermarkets"
11/25/2023,11/25/2023,"GOLDS GYM AUSTIN DOWNTOW 512-535-6423 TX",75.78,"Travel/ Entertainment"
11/28/2023,11/28/2023,"STARBUCKS 800-782-7282 SEATTLE WA",12.45,"Restaurants"
11/28/2023,11/28/2023,"TST* WOKS IT 2U 183 512-653-3002 TX00040598014856080317AA",50.64,"Restaurants"
11/30/2023,11/30/2023,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
11/30/2023,11/30/2023,"STARBUCKS 800-782-7282 SEATTLE WA",22.19,"Restaurants"
12/02/2023,12/02/2023,"STARBUCKS 800-782-7282 SEATTLE WA",20.03,"Restaurants"
12/02/2023,12/02/2023,"TOMLINSON'S FEED-CEDAR P CEDAR PARK TX",189.29,"Merchandise"
12/03/2023,12/03/2023,"H-E-B #580 CEDAR PARK TX",168.01,"Supermarkets"
12/03/2023,12/03/2023,"TOMLINSON'S FEED-CEDAR P CEDAR PARK TX",44.15,"Merchandise"
12/05/2023,12/05/2023,"PEOPLES PHARMACY #4 AUSTIN TX",364.33,"Merchandise"
12/05/2023,12/05/2023,"WALGREENS #7061 CEDAR PARK TX",66.52,"Merchandise"
12/06/2023,12/06/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4AY8AT-A2C3AAB0187746",10.79,"Services"
12/16/2023,12/16/2023,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-42.74,"Awards and Rebate Credits"
12/16/2023,12/16/2023,"INTERNET PAYMENT - THANK YOU",-1231.76,"Payments and Credits"
12/16/2023,12/16/2023,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
12/18/2023,12/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1227595210000000",31.26,"Merchandise"
12/19/2023,12/19/2023,"AMZN MKTP US*1I41D19S3 AMZN.COM/BILLWATH3ZULLFY13",46.54,"Merchandise"
12/19/2023,12/19/2023,"AMZN MKTP US*4W27M6273 AMZN.COM/BILLWA33Y9KGMTREK",46.54,"Merchandise"
12/19/2023,12/19/2023,"AMZN MKTP US*964TC49G3 AMZN.COM/BILLWA6GABIZL4U1U",46.54,"Merchandise"
12/19/2023,12/19/2023,"AMZN MKTP US*UW95C0PD3 AMZN.COM/BILLWA3L6UTMY6DKB",46.54,"Merchandise"
12/19/2023,12/19/2023,"APPLE.COM/BILL 866-712-7753 CAMM252Z8TNHA0",2.99,"Merchandise"
12/19/2023,12/20/2023,"AMZN MKTP US AMZN.COM/BILLWA6EFJXL3YKV4",-46.54,"Payments and Credits"
12/19/2023,12/20/2023,"AMZN MKTP US AMZN.COM/BILLWA57K3CVAK3P5",-46.54,"Payments and Credits"
12/19/2023,12/20/2023,"AMZN MKTP US AMZN.COM/BILLWA26ZVBR0GNH8",-46.54,"Payments and Credits"
12/19/2023,12/20/2023,"AMZN MKTP US AMZN.COM/BILLWA4WGZFNC8AT8",-46.54,"Payments and Credits"
12/31/2023,12/31/2023,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
01/06/2024,01/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4E4BXK-3F12A30E0BB0D5",10.79,"Services"
01/15/2024,01/15/2024,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-10.52,"Awards and Rebate Credits"
01/15/2024,01/15/2024,"INTERNET PAYMENT - THANK YOU",-104.14,"Payments and Credits"
01/16/2024,01/16/2024,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
01/18/2024,01/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1235819060000000",31.26,"Merchandise"
01/19/2024,01/19/2024,"APPLE.COM/BILL 866-712-7753 CA",2.99,"Merchandise"
01/19/2024,01/19/2024,"IPSY* ICON BOX 6502277841 CA",67.10,"Merchandise"
01/20/2024,01/20/2024,"MCALISTER'S OLO 1418 512-260-3354 TX",31.69,"Travel/ Entertainment"
02/06/2024,02/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4HCM6V-198CC09500CABC",10.79,"Services"
02/15/2024,02/15/2024,"INTERNET PAYMENT - THANK YOU",-178.82,"Payments and Credits"
02/16/2024,02/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
02/18/2024,02/18/2024,"APPLE.COM/BILL 866-712-7753 CAMM257YJWYFA0",2.99,"Merchandise"
02/18/2024,02/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1243998370000000",31.26,"Merchandise"
02/29/2024,02/29/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
03/06/2024,03/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4KHZSV-17C37CFA57872F",10.79,"Services"
03/15/2024,03/15/2024,"INTERNET PAYMENT - THANK YOU",-114.66,"Payments and Credits"
03/16/2024,03/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
03/18/2024,03/18/2024,"APPLE.COM/BILL 866-712-7753 CA",2.99,"Merchandise"
03/18/2024,03/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1252004450000000",31.26,"Merchandise"
03/31/2024,03/31/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
04/01/2024,04/01/2024,"IPSY* ADD ONS 6502277841 CA",20.57,"Merchandise"
04/06/2024,04/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4NQ7E5-99B23E791A164C",10.79,"Services"
04/14/2024,04/14/2024,"INTERNET PAYMENT - THANK YOU",-135.23,"Payments and Credits"
04/16/2024,04/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
04/18/2024,04/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1260044510000000",31.36,"Merchandise"
04/19/2024,04/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25F4HX27A0",2.99,"Merchandise"
04/21/2024,04/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
04/30/2024,04/30/2024,"IPSY* ICON BOX 6502277841 CA",67.10,"Merchandise"
05/06/2024,05/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4R1TG4-6D2B55C5E982C0",10.79,"Services"
05/16/2024,05/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
05/18/2024,05/18/2024,"INTERNET PAYMENT - THANK YOU",-217.21,"Payments and Credits"
05/19/2024,05/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25HQDLH8A0",2.99,"Merchandise"
05/19/2024,05/19/2024,"NATIONWIDE PET INS 800-872-7387 CA1267990390000000",41.86,"Merchandise"
05/21/2024,05/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
05/31/2024,05/31/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
06/01/2024,06/01/2024,"IPSY* ADD ONS 6502277841 CA",3.79,"Merchandise"
06/01/2024,06/01/2024,"WORLD MARKET #82 CEDAR PARK TX",94.10,"Merchandise"
06/06/2024,06/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4UKVLP-79B12F984DB8E1",12.95,"Services"
06/16/2024,06/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
06/17/2024,06/17/2024,"INTERNET PAYMENT - THANK YOU",-225.31,"Payments and Credits"
06/18/2024,06/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1275844680000000",41.86,"Merchandise"
06/19/2024,06/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25LBFWHMA0",2.99,"Merchandise"
06/21/2024,06/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
06/30/2024,06/30/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
07/06/2024,07/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4Y1UEU-2CD96FB524CAAD",12.95,"Services"
07/15/2024,07/15/2024,"APPLE.COM/BILL 111-111-1111 CA",5.40,"Merchandise"
07/16/2024,07/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
07/18/2024,07/18/2024,"INTERNET PAYMENT - THANK YOU",-202.80,"Payments and Credits"
07/18/2024,07/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1283593350000000",41.86,"Merchandise"
07/19/2024,07/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25Q01B0BA0",2.99,"Merchandise"
07/21/2024,07/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
